DST,MOPH
ivermectin 3 mg Oral Tab,"Dried, protein free, dialysate
 of calfs' blood 8.3 mg/g
  "
"ketamine hydrochloride 10 mg /mL IM,IV solution for injection 20 mL","DRONEDDARONE(AS HYDROCHLORIDE)
 400MG  "
"Ketamine hydrochloride 50 mg /mL IM,IV solution for injection 10 mL","Drosperinone 3mg + 0.02 ehtinylestradiol
  "
Ketoconazole 2 % topical cream 30 g,"Drosperinone3mg  Ethinylestradiol0.03mg
  "
Ketoconazole 2 % topical shampoo 100 ml,"Duloxetine30mg (as Duloxetine
 Hydrochloride) "
ketoprofen 100 mg Oral FC Tab,"Duloxetine60mg Duloxetine
 HCl eq. to Duloxetine 60mg
 "
ketorolac 30 mg /mL intravenous solution for injection 1 mL,Dutasteride 0.5mg
ketorolac tromethamine 10 mg Oral FC Tab,Dydrogesterone 10mg
Ketotifen 1 mg /5ml oral flavored syrup 100 ml,"EACH 0.5 ML CONTAIN 25 MCG
 OF POLY SACCARIDE FROM EACH
 PNEUMOCOCCAL CAPSULAR TYPE
   "
Ketotifen 1 mg /5mL oral flavored syrup 120 ml,"EACH 0.5 ML CONTAINS 1350
 (PFU) OF OKA MERCK VARICELLA
 VIRUS   "
ketotifen 1 mg Oral Scored Tab,"Each 5ml contains :     ·        
 Triprolidine HCl 1.25 mg

          ·         Pseudoephedrine
 HCL 30 mg              ·        
 Guaiphenesin 100 mg  "
labetalol 100 mg Oral FC Tab,Econazole Nitrate 150mg
labetalol 200 mg Oral FC Tab,Econazole Nitrate 150mg
labetalol hydrochloride 5 mg /mL intravenous solution for injection 20 mL,Econazole Nitrate 1%
lacosamide 10 mg /mL intravenous solution for injection 20 mL,Econazole Nitrate 1%
lacosamide 10 mg /ml oral flavored syrup 200 ml,"Econazole Nitrate 1% + Triamcinolone
 Acetonide 0.1%  "
lacosamide 100 mg Oral FC Tab,Econazole nitrate 150mg
lacosamide 150 mg Oral FC Tab,Efavirenz 600 mg
lacosamide 200 mg Oral FC Tab,eletriptan HBr 40 mg
lacosamide 50 mg Oral FC Tab,eletriptan HBr 40 mg
lactated ringers injection USP non pvc intravenous fluid 250 mL,"ELISA 1440 units of HAV antigen/
 1ml Dose  "
lactic acid probiotic bacteria 450 billion CFU oral SAC,"ELISA 720 units of HAV antigen
 /0.5ml Dose  "
Lactobacillus acidophilus contain ~2 billion bacteria 3 billion units /0.3 ml oral unflavored syrup 5 ml,"ELIZA inactivated HAV  720
  + 20mcg rHBV/ 1 ml  "
lactulose 10 gm /15ml oral unflavored syrup 300 ml,"ELIZA inactivated HAV 360
 + 10mcg Rhbv/0.5 ml  "
lamivudine 10 mg / ml oral flavored syrup 240 ml,eltrombopag 25 mg
Lamotrigine 100 mg Oral Disp Tab,eltrombopag 50 mg
Lamotrigine 100 mg Oral Tab,Enalapril 10 mg
Lamotrigine 25 mg Oral Disp Tab,Enalapril 10 mg
Lamotrigine 25 mg Oral Tab,Enalapril 20 mg
Lamotrigine 5 mg Oral Disp Tab,Enalapril 20 mg
Lamotrigine 50 mg Oral ER Tab,Enalapril 5 mg
Lamotrigine 50 mg Oral Tab,Enalapril Maleate 10 mg
Lansoprazole 15 mg Oral Cap,Enalapril maleate 10 mg
Lansoprazole 15 mg Oral Cap,Enalapril Maleate 20 mg
Lansoprazole 3 mg /ml oral powder for suspension 90 ml,Enalapril maleate 20 mg
Lansoprazole 30 mg Oral Cap,"Enalapril Maleate20mg  Hydrochlorothiazide12.5mg
  "
L-arginine hydrochloride 10% w/v 100 mg /mL intravenous solution for injection 200 mL,Enalapril Maleate 5 mg
latanoprost 0.005 %% /2.5 mL Ophthalmic Solution 2.5 mL,Enalapril maleate 5 mg
L-Carnitine 250 mg Oral Cap,"Enoxaparin Sodium 100mg/ml
  "
L-carnitine Base (Compounding) 1500 g Oral Powder,"Enoxaparin Sodium 20mg/0.2ml
  "
leflunomid 10 mg Oral FC tab,"Enoxaparin Sodium 40mg/0.4ml
  "
letrozole 2.5 mg Oral FC Tab,"Enoxaparin Sodium 60mg/0.6ml
  "
levETIRAcetam 100 mg /mL intravenous solution for injection 5 mL,"Enoxaparin Sodium 80mg/0.8ml
  "
levETIRAcetam 100 mg /ml Oral Solution 473 mL,Entecavir 0.5 mg
levETIRAcetam 100 mg /ml oral unflavored syrup 300 ml,Entecavir 1 mg
Levetiracetam 1000 mg Oral FC Tab,Eperisone HCl 50mg
Levetiracetam 250 mg Oral FC Tab,Eperisone 50mg
Levetiracetam 500 mg Oral FC Tab,eplerenone 25 mg
levobupivacine hydrochloride 5 mg /mL epidural preservative free solution for injection 10 mL,eplerenone 50 mg
levOCARNitine 100 mg /ml oral flavored syrup 118 ml,"Epoetin Alfa 1,000 IU/0.5ml(8.4mcg/0.5ml)
  "
levOCARNitine 100 mg /ml Oral Syrup 118 mL,"Epoetin Alfa 10,000 IU/ml(84mcg/ml)
  "
levocarnitine 200 mg /mL intravenous solution for injection 5 mL,"Epoetin Alfa 2,000 IU/0.5ml(16.8mcg/0.5ml)
  "
Levocarnitine 330 mg Oral Tab,"Epoetin Alfa 4,000 IU/0.4ml(33.6mcg/0.4ml)
  "
levocetirizine 0.5 mg /ml oral flavored syrup 100 ml,"Epoetin Alfa 40,000 IU/ml(336mcg/ml)
  "
levocetrizine 5 mg Oral FC Tab,"Epoetin Alfa 6,000 IU/0.6ml(50.4mcg/0.6ml)
  "
levoFLOXacin 5 mg /mL intravenous solution for injection 100 mL,"Epoetin beta  6000 IU/0.3ml
  "
levofloxacin 500 mg Oral FC Scored Tab,"Epoetin beta 10000 IU/0.6ml
  "
levonorgestrel 1500 MCG Oral Tab,"Epoetin beta 2000 I.U. PFS
  "
levonorgestrel intrauterine delivery system 52 mg Vaginal IUD,"Epoetin beta 30000 IU/0.6ml
  "
Levothyroxin 100 MCG Oral Scored Tab,"Epoetin beta 30000 IU/0.6ml
  "
Levothyroxin 150 MCG Oral Scored Tab,"Epoetin beta 4000 IU/0.3ml
  "
Levothyroxin 25 MCG Oral Scored Tab,Eprosartan 600mg
Levothyroxin 50 MCG Oral Scored Tab,Eprosartan 600mg
Levothyroxine sodium 0.1 mg intravenous powder for injection,"Eprosartan 600mg+ HCT 12.5mg
  "
lidocaine - prilocaine 2.5-2.5 % topical cream 5 g,Eptifibatide 0.75mg/ml
lidocaine (compounding) 100 Gm Oral Powder,Eptifibatide 2mg/ml
Lidocaine 10 % topical solution 50 ml,"Erdosteine 300 mg/Capsule
  "
lidocaine 2 % topical gel 30 g,Erlotinib 100 MG tabs
lidocaine 2%-tribenoside 30 g 2 - 5 % rectal cream,Erlotinib 150 MG tabs
lidocaine 4 % topical solution 50 ml,Ertapenem 1 gm
lidocaine 5 % topical ointment 35 g,"Erythromycin (as Erythromycin
 Ethylsuccinate) 200mg/5ml
  "
lidocaine 5 % topical patches 30 mg,"Erythromycin (as Erythromycin
 Ethylsuccinate) 250mg  "
"lidocaine HCL 2% and Adrenaline 1:80,000 20 mg /mL Dental Dental Cartridge 1.8 mL","Erythromycin (as Ethyl succinate)
  200 mg/5ml  "
lidocaine hydrochloride 1% 10 mg /mL intravenous preservative free solution for injection 2 mL,"Erythromycin (as Ethyl succinate)
 100mg /2.5 ml  "
lidocaine hydrochloride 1% 10 mg /mL intravenous preservative free solution for injection 20 mL,erythromycin 5 mg
lidocaine hydrochloride 2% 20 mg /mL intravenous preservative free solution for injection 10 mL,"Erythromycin Stearate  250
 mg  "
lidocaine hydrochloride 2% 20 mg /mL intravenous preservative free solution for injection 20 mL,"Erythromycin/ Zinc acetate
             40 mg/ml  "
lidocaine hydrochloride 2% 20 mg /mL intravenous preservative free solution for injection 5 mL,"Escin 1% (1gm/100gm)Diethylamine
 salicylate 5% (5gm/100gm)
  "
Lidocaine-Adrenaline-Tetracaine 4% - 1:1000 - 0.5% % topical gel 3 ml,"Escin 1% (1gm/100gm)Diethylamine
 salicylate 5% (5gm/100gm)
  "
lidocaine-epi 1%-1:200 K /mL intramuscular solution for injection 20 mL,Escin 20.0 mg / tab
linezolid 100 mg / 5 ml oral - 150 ml,Escin 40.0 mg
linezolid 2 mg /mL intravenous solution for injection 300 mL,"Escitalopram Oxalate 10mg
  "
linezolid 600 mg Oral Tab,"Escitalopram Oxalate 20mg
  "
Liraglutide 6 mg /mL subcutaneous prefilled pen 3 mL,"Esomeprazole magnesium,  40
 mg  "
lisinopril 10 mg Oral Tab,"Esomeprazole magnesium,  40
 mg  "
lisinopril 2.5 mg Oral Tab,"Esomeprazole magnesium, 10
 mg  "
lisinopril 20 mg Oral Tab,"Esomeprazole magnesium, 20
 mg  "
lisinopril 5 mg Oral Tab,"Esomeprazole magnesium, 20
 mg  "
lithium carbonate 150 mg Oral Cap,"Esomeprazole sodium, 40 mg  "
lithium carbonate 400 mg Oral PR Cap,"Esomeprazole sodium, 40 mg"
lomustine 10 mg Oral Cap,"Estradiol 1mg + Dydrogesterone
 10mg  "
lomustine 40 mg Oral Cap,"Estradiol 1mg + Dydrogesterone
 5mg  "
loperamide 2 mg Oral Cap,"Estradiol 2mg + Dydrogesterone
 10mg  "
loperamide 2 mg Oral Oro Disp Tab,"Estradiol valerate 2mg +
 norgestrel 0.5mg  "
lopinavir-ritonavir 100-25 mg Oral FC Tab,"Estriol 0.03mg +
Lactobacillus
 acidophilus 10 mio cfu  "
loratadine 10 mg Oral Tab,Etamsylate 250 mg/2 ml
loratadine 5 mg / 5 ml oral unflavored syrup 100 ml,Etamsylate 250 mg/2 ml
Lorazepam 1 mg oral Tab,Etamsylate 250 mg/2 ml
LORAZEPAM 2 mg / mL solution injection 1 mL,Etamsylate 500 mg
losartan potassium 50 mg Oral Tab,Etamsylate 500 mg
losartan potassium/hydrochlorothiazide 50-12.5 mg Oral Tab,Etamsylate 500 mg
loteprednol etabonate 0.5 % ophthalmic solution 5 ml,Etanercept 25mg
lubricating gel - - topical gel 82 g,Etanercept 50mg
lutropin alfa (recombinant human Luteinising Hormone) 75 unit subcutanious powder for injection,Etanercept 50mg
magnesium aspartate 5(123) mg Oral Tab,"Ethinyl estradiol 0.03 mg
  +0.075 Gestodene  "
magnesium gluconate 500(27) mg Oral Tab,"Ethinylestradiol + Etonogestrel
 (2.7mg+11.7mg ) /Ring  "
magnesium hydroxide BP 415 mg / 5ml oral flavored syrup 200 ml,"Ethinylestradiol + Etonogestrel
 (2.7mg+11.7mg ) /Ring  "
magnesium oxide 400 mg Oral Tab,"Ethylchloride 100 ml/tin
 "
magnesium sulfate 50 % 500 mg /mL intravenous preservative free solution for injection 2 mL,Etonogestrel 68mg
magnesium sulfate 50 % 500 mg /mL intravenous solution for injection 10 mL,Etoricoxib 120mg
magnesium sulfate 50 % 500 mg /mL intravenous solution for injection 50 mL,Etoricoxib 60mg
magnesium sulphate (Compounding) 500 g Oral Powder,Etoricoxib 90mg
"magnesium sulphate 10 % 100 mg /mL IM,IV solution for injection 10 mL",Everolimus BHT 0.1 mg
Magnesium sulphate powder 454 g oral powder for compounding,Everolimus BHT 0.25 mg
mannitol 20% intravenous fluid 500 mL,Everolimus BHT 0.25 mg
measles-mumps-rubella (MMR) live 1 dose 0.5 mL subcutaneous single dose injection 0.5 mL,Everolimus BHT 0.5 mg
mebendazole 100 mg /5 ml oral flavored syrup 30 ml,Everolimus BHT 0.75 mg
mebendazole 100 mg Oral Scored Tab,Everolimus BHT 1 mg
mebeverine 135 mg Oral FC tab,Everolimus BHT 10 mg
mebeverine 200 mg Oral MR Cap,Everolimus BHT 5 mg
meclizine 12.5 mg Oral Tab,Exemestane 25mg
medroxyprogesterone 10 mg Oral Tab,"Exenatide 10mcg/0.04ml (Unit
 Dose)  "
medroxyprogesterone 2.5 mg Oral Tab,"Exenatide 5mcg/0.02ml (Unit
 Dose)  "
medroxyprogesterone 5 mg Oral Tab,Ezetemibe 10 mg
medroxyPROGESTERone acetate 150 mg /mL intramuscular suspension for Injection 1 mL,"Ezetimibe10/Simvastatin 20
 mg  "
mefloquine 250 mg Oral Scored Tab,"Ezetimibe10/Simvastatin 40
 mg  "
megestrol 20 mg Oral Tab,Famciclovir 250mg
megestrol acetate 40 mg /ml oral flavored syrup 240 ml,Famotidine 10mg
Melatonin (Sugar & Alcohol Free) 1 mg /ml oral flavored syrup 200 ml,FAMOTIDINE 20 MG
melatonin 3 mg Oral Tab,Famotidine 20 mg
melatonin 5 mg Oral ER Tab,Famotidine 20mg
meloxicam 15 mg Oral Tab,Famotidine 40 mg
Melperon 25 mg / 5 ml Oral Syrup 300 mL,Famotidine 40mg
melphalan 50 mg intravenous powder for injection,Fampridine 10 mg
memantine 10 mg Oral Scored Tab,"Felodipine, 10 mg  "
"Meningococcal ACW - 135 , Y conjugated 1 Dose 0.5 mL intramuscular powder for injection 0.5 mL","Felodipine, 10 mg  "
meningococcal group B 1 dose /0.5 mL intramuscular single dose injection 0.5 mL,"Felodipine, 5 mg  "
"meningococcal polysaccharide (A, C, Y, W-135) 4 mcg 0.5 mL intramuscular single dose injection 0.5 mL","Felodipine, 5 mg  "
menotrophins + 0.9% sodium chloride as solvent 1200 mcg intravenous Powder for Injection,"Fexofenadine Hydrochloride
 180 mg  "
menotrophins + 0.9% sodium chloride as solvent 600 mcg intravenous Powder for Injection,Fenofibrate 145mg
"menotrophins 75 unit SC,IM powder for injection",Fenofibrate 300mg
mercaptopurin 20 mg / mL Oral Suspension 100 mL 20 mg /ml oral unflavored 100 ml,"Fentanyl (matrix) 100 mcg/h
  "
mercaptopurine 50 mg Oral Tab,"Fentanyl (matrix) 12 mcg/h
  "
meropenem 500 mg intravenous powder for injection,"Fentanyl (matrix) 25 mcg/h
  "
mesalamine (mesalazine) 1 gm rectal Enema,"Fentanyl (matrix) 50 mcg/h
  "
mesalamine (mesalazine) 2 gm oral powder,"Fentanyl 100µg  (as citrate)
  "
mesalamine 400 mg Oral EC Cap,"Fentanyl 200µg (as citrate)
  "
mesalamine 500 mg Oral SR Tab,"Fentanyl 400µg(as citrate),
   "
mesalamine 500 mg rectal supp,"Fenticonazole nitrate 1000mg
  "
mesalazine  gastro-resistant 1 gm oral granules,"Fenticonazole nitrate 200mg
  "
metformin 1000 mg Oral Scored Tab,"Fenticonazole nitrate 600mg
  "
metformin 500 mg Oral FC Tab,"Ferrimanitol ovoalbumin 40
 mg  "
metformin 500 mg Oral PR Tab,fexofenadine HCL 120mg
metformin 750 mg Oral ER Tab,fexofenadine HCL 120mg
methacholine chloride 100 mg powder for soln for Inhalation glass vial 5 mg /mL oral inhalation powder for solution 20 mL,fexofenadine HCL 180mg
methadone 1 mg / mL Oral Sugar Free Solution 50 mL,fexofenadine HCL 180mg
methadone 1 mg / mL Oral Sugar Free Solution 500 mL,"Fexofenadine Hydrochloride
 120 mg  "
methadone hydrochloride 1 mg /mL oral solution 100 mL,"Fexofenadine Hydrochloride
 60 mg  "
methadone hydrochloride 5 mg oral Tab,Filgrastim 30 MIU/0.5ML
methotrexate 10 mg /0.2 mL subcutanious solution for injection 0.2 mL,Filgrastim 30 MIU/ML
methotrexate 10 mg Oral Tab,"Filgrastim 48 MIO/0.5ML  inj.(0.48MG)
  "
"methotrexate 100 mg /mL IM,IV,intrathecal solution for injection 50 mL",Finasteride 1mg
methotrexate 12.5 mg /0.25 mL subcutanious solution for injection 0.25 mL,Finasteride 5mg
methotrexate 15 mg /0.3 mL subcutanious solution for injection 0.3 mL,"Fingolimod (as hydrochloride)
 0.5 mg  "
methotrexate 17.5 mg /0.35 mL subcutanious solution for injection 0.35 mL,"Flavoxate Hydrochloride 200
 mg  "
methotrexate 2.5 mg Oral Tab,"Flucinolone Acetonide mg/0.10
         Lidocaine HCl.H2O
 20mg/g  "
methotrexate 20 mg /0.4 mL subcutanious solution for injection 0.4 mL,fluconazole 150 mg
methotrexate 22.5 mg /0.45 mL subcutanious solution for injection 0.45 mL,Fluconazole 150 mg
methotrexate 25 mg /0.5 mL subcutanious solution for injection 0.5 mL,Fluconazole 150 mg
methotrexate 25 mg /mL intravenous preservative free solution for injection 2 mL,fluconazole 50 mg
methotrexate 25 mg /mL intravenous preservative free solution for injection 40 mL,Fluconazole 50 mg
methotrexate 25 mg /mL intravenous solution for injection 20 mL,"Fluconazole Injection (2mg/ml)
  "
methotrexate 27.5 mg /0.55 mL subcutanious solution for injection 0.55 mL,"Fluconazole
150 mg/Capsule
  "
methotrexate 30 mg /0.6 mL subcutanious solution for injection 0.6 mL,"Fluconazole
150mg  "
methotrexate 7.5 mg /0.15 mL subcutanious solution for injection 0.15 mL,"Fluconazole
150mg  "
methyl cellulose (Compounding) 500 g Oral Powder,"Fluconazole
200mg/100ml  "
Methyl phenidat 10 mg oral Tab,"Fluconazole
50 mg/Capsule
  "
Methyl phenidat hydrochloride 18 mg oral ER Tab,"Fluconazole
50mg  "
Methyl phenidat hydrochloride 27 mg oral ER Tab,"Fluorescein sodium (eq. to
 fluorescein 10%w/v)  "
Methyl phenidat hydrochloride 36 mg oral ER Tab,"Fluorouracil 0.5gm/100gm
Salicylic
 acid 10gm/100gm  "
Methyl phenidat hydrochloride 54 mg oral ER Tab,Fluoxetine 20 Mg
methyldopa 250 mg Oral FC Tab,Fluoxetine HCl 20mg
methyldopa 500 mg Oral FC Tab,Fluoxetine HCl 20mg
methylene blue (methylthioninium chloride) 5 mg /mL intravenous solution for injection 10 mL,Fluoxetine HCl 20mg
methylene blue 10 mg /mL intravenous solution for injection 5 mL,"FLUOXETINE HYDROCHLORIDE 20
 mg  "
methylergometrine (methylergonovine) 0.2 mg /mL IV/SC/IM injection 1 mL,"FLUOXETINE HYDROCHLORIDE 20MG
  "
methylergometrine (methylergonovine) maleate 0.2 mg /mL intramuscular solution for injection 1 mL,"Fluoxetine hydrochloride 20mg
  "
methylergometrine 0.125 mg Oral Tab,"Flupentixol Dihydrochloride
 0.25mg  "
methylprednisolone 4 mg Oral Tab,Fluticasone furoate 27.5mcg/Dose
"methylPREDNISolone acetate 40 mg /mL IM,intra-articular,soft tissue suspension for Injection 1 mL",Fluticasone propionate (micronized) 0.005% w/w
"methylPREDNISolone sodium succinate 125 mg IM,IV powder for injection",Fluticasone propionate 0.005% w/w
"methylprednisolone sodium succinate 40 mg IM,IV powder for injection",Fluticasone propionate 0.05% w/w
"methylPREDNISolone sodium succinate 500 mg IM,IV powder for injection","Fluticasone propionate 0.05%
 w/w (micronized)   "
metoclopramide 10 mg Oral Scored Tab,Fluticasone propionate 0.5mg/2ml
metoclopramide 10 mg rectal supp,Fluticasone propionate 125mcg/Dose
metoclopramide 5 mg / 5 ml Oral Syrup 150 mL,Fluticasone propionate 125mcg/Dose
metoclopramide 5 mg /5 ml oral flavored syrup 125 ml,Fluticasone propionate 250mcg/Dose
metoclopramide 5 mg /mL intravenous solution for injection 2 mL,Fluticasone propionate 2mg/2ml
metolazone 5 mg Oral Tab,Fluticasone propionate 50mcg/Dose
metoprolol 100 mg Oral Scored Tab,Fluticasone propionate 50mcg/Dose
metoprolol 25 mg Oral Tab,Fluvastatin 80mg
metoprolol 50 mg Oral Scored Tab,Fluvoxamine maleate 100mg
metoprolol tartrate 1 mg /mL intravenous solution for injection 5 mL,Fluvoxamine maleate 50mg
metreleptine multi-dose vial (solvent is bactereostatic water for injection) 11.3 mg subcutaneous Powder for Injection,fluorometholone 1 mg/ml
metronidazole 0.5% 5 mg /mL intravenous solution for injection 100 mL,"Folic acid      0.5mg
Dried
 Ferrous sulphate    150mg
  "
metroNIDAZOLE 1 % topical gel 60 g,"Folic Acid 0.414 mg; Vitamin
 A (Retinol Palmitate) 3500
 IU; Vitamin B1 (Cocarboxylase
 Tetrahydrate) 5.8 mg; Vitamin
 B2 (Riboflavin Phosphate
 Dihydrate) 5.67 mg; Vitamin
 B3 (Nicotinamide) 46 mg;
 Vitamin B5 (Pantothenic Acid)
 17.25 mg; Vitamin B6 (Pyridoxine
 Hydrochloride) 5.5 mg; Vitamin
 B12 (Cyanocobalamin) 6 mcg;
 Vitamin C (Ascorbic Acid)
 125 mg; Vitamin D3 (Cholecalciferol)
 220 IU; Vitamin E (Alpha-Tocopherol)
 11.2 IU; Vitamin H (Biotin)
 69 mcg   "
metroNIDAZOLE 125 mg /5 ml oral unflavored syrup 100 ml,Folic acid 1mg
metroNIDAZOLE 200 mg /5ml oral flavored syrup 100 ml,Folic acid 1mg
metronidazole 250 mg Oral Tab,Folic acid 5mg
metronidazole 500 mg Oral FC Tab,Folic acid 5mg
metronidazole 500 mg Vaginal Cap,"Follitropin alfa 300 IU/0.5ml

 (22 micrograms/0.5 ml)
 "
metroNIDAZOLE 7.5 mg Vaginal Gel,"Follitropin alfa 450 IU/ 0.75ml

 (33 micrograms/0.75 ml)
  "
mexiletine 150 mg Oral Cap,"Follitropin Alfa 5.5 micrograms
 eq. to 75IU  "
miconazole / hydrocortisone Cream 2 - 1 %-% Topical 15 g Gel,"Follitropin alfa 900 IU/ 1.5ml

 (66 micrograms/1.5 ml)
 "
miconazole 2 % oral gel 40 g,"Follitropin alfa 150IU,Lutropin
 alfa 75 iu  "
miconazole 2 % topical gel 30 g,"Follitropin Beta 100 IU/ 0.5ml
  "
miconazole 200 mg Vaginal supp,Follitropin Beta 300 IU/ 0.36ml
miconazole nitrate 20 mg Vaginal cream,Follitropin Beta 50 IU/ 0.5ml
Midazolam 10 mg / mL oromucosal solution oromucosal solution 5 mL,Follitropin Beta 600 IU / 0.72ml
midazolam 2 mg / mL Oral solution 118 mL,Follitropin Beta 900 IU / 1.08ml
midazolam 5 mg / mL solution injection 3 mL,Fondaparinux Sodium 10mg/0.8ml
midodrine 5 mg Oral Tab,Fondaparinux Sodium 2.5mg/0.5ml
Mifamurtide Inj 4 mg /mL Intravenous solution for injection - mL,Fondaparinux Sodium 5mg/0.4ml
Mifepristone 200 mg Oral Tab,Fondaparinux Sodium 7.5mg/0.6ml
milrinone lactate 1 mg /mL intravenous preservative free solution for injection 10 mL,"Framycetine sulfate (5mg/ml)
 + Gramicidin (0.05mg/ml)
 + Dexamethasone (0.5mg/ml)
  "
mineral oil 133 ml rectal Enema,"FUCIDIC ACID 2% + HYDROCORTISONE
 ACETATE 1%  "
minocycline 100 mg Oral Cap,Furosemide 20mg/2ml
minoil-white petrolat PF - - ophthalmic ointment 3.5 g,Furosemide 250mg
mirtazapine 30 mg Oral Tab,Furosemide 40mg
Misoprostol 100 MCG Oral Tab,Furosemide 40mg
Misoprostol 200 mcg Oral Tab,Furosemide 40mg
mitoMYcin 20 mg intravenous powder for injection,"Furosemide 40mg / Tablets
  "
mitoXANTRONE hydrochloride 2 mg /mL intravenous solution for injection 10 mL,"FUSIDIC ACID 1% with Benzalkonium
 chloride  "
mometasone 0.1 % topical cream 15 g,FUSIDIC ACID 2%
mometasone 0.1 % topical cream 30 g,FUSIDIC ACID 2%
mometasone 0.1 % topical lotion 30 ml,FUSIDIC ACID 2%
mometasone 0.1 % topical ointment 15 g,"Fusidic acid 2% + 0.1% betamethasone
 valerate  "
mometasone 50 mcg spray Nasal spray solution 120 dose,Fusidic acid 2% w/w
"mometasone furoate ,Salicylic acid 0.1/5 % topical ointment 30 g","FUSIDIC ACID ANHYDROUS 20
 MG/G + BETAMETHASONE VALERATE
 1 MG/G   "
montelukast 10 mg Oral Tab,Gabapentin 300 mg
montelukast 4 mg Oral Chew tab,Gabapentin  400 mg
montelukast 5 mg Oral Chew tab,gabapentin 300 mg
montelukast Granule 4 mg oral granules,gabapentin 300 mg
morphine 1 mg /mL solution for IV preservative free injection 1 mL,gabapentin 400 mg
morphine HCL 10 mg / mL intravenous preservative free solution for injection 1 mL,gabapentin 400 mg
